index,close,VWAP,high,MA,average_price,low,tomorrow_high
2009-01-29 14:30:00,84.55,85.5033666666667,87.4901,114.0265104500003,85.98,84.47,85.39999
2009-01-30 14:30:00,82.83,83.48,85.39999,113.7564104000003,83.8,82.21001,83.17999
2009-02-02 14:30:00,82.58,82.35666333333334,83.17999,113.48406040000036,82.24,81.31,84.36
2009-02-03 14:30:00,83.74001,83.44000333333331,84.36,113.21036045000037,83.29,82.22,85.37
2009-02-04 14:30:00,83.33,83.91332999999999,85.37,112.93426045000037,84.2,83.03999,85.28999
2009-02-05 14:30:00,84.57001,82.53000000000002,85.28999,112.66741050000036,81.51,77.73,87.34
2009-02-06 14:30:00,86.979,86.33299666666666,87.34,112.41370550000036,86.01,84.67999,87.74001
2009-02-09 14:30:00,87.10001,87.05334333333332,87.74001,112.15760550000036,87.03,86.32001,87.03
2009-02-10 14:30:00,83.11,84.19666666666667,87.03,111.87515545000036,84.74,82.45,84.05
2009-02-11 14:30:00,83.60001,83.35000000000002,84.05,111.59500550000037,83.22,82.39999,83.82001
2009-02-12 14:30:00,83.66,82.84333666666666,83.82001,111.31790550000035,82.44,81.05,84.24001
2009-02-13 14:30:00,82.75999,83.24667,84.24001,111.04040550000036,83.49,82.74001,82.95799
2009-02-17 14:30:00,79.22,80.44933,82.95799,110.73090550000036,81.06,79.17,79.94
2009-02-18 14:30:00,79.03,79.08333333333333,79.94,110.41850555000036,79.11,78.28,80.14999
2009-02-19 14:30:00,78.181,78.78366333333331,80.14999,110.10526055000037,79.08,78.02,78.34
2009-02-20 14:30:00,77.42,77.17666666666669,78.34,109.78211055000034,77.06,75.77,78.27
2009-02-23 14:30:00,74.64999,75.83666333333333,78.27,109.45776050000036,76.43,74.59,77.95
2009-02-24 14:30:00,77.48,76.71010000000003,77.95,109.14936050000034,76.33,74.7003,78.42
2009-02-25 14:30:00,76.87199,76.97399666666666,78.42,108.83922050000034,77.03,75.63,79.6667
2009-02-26 14:30:00,75.62,76.9389,79.6667,108.51502045000035,77.6,75.53,75.68719
2009-02-27 14:30:00,73.92999,74.47572666666666,75.68719,108.18227040000036,74.75,73.81,73.9169
2009-03-02 14:30:00,70.60001,71.62897,73.9169,107.83142045000034,72.14,70.37,71.7
2009-03-03 14:30:00,70.07001,70.47000333333334,71.7,107.4691205000003,70.67,69.64,72.87
2009-03-04 14:30:00,71.73,71.55763666666667,72.87,107.11447050000034,71.47,70.07291,71.73
2009-03-05 14:30:00,68.8,69.56666666666666,71.73,106.7432205000003,69.95,68.17,70.45
2009-03-06 14:30:00,68.92,68.82333666666666,70.45,106.3783705000003,68.78,67.10001,70.0
2009-03-09 13:30:00,68.11,68.61333333333334,70.0,106.02147045000031,68.87,67.73,72.37
2009-03-10 13:30:00,72.17,71.30333333333334,72.37,105.68477050000031,70.87,69.37,73.75
2009-03-11 13:30:00,72.64,72.74,73.75,105.35977050000031,72.79,71.83,75.75
2009-03-12 13:30:00,75.5,74.40666666666667,75.75,105.0439705000003,73.86,71.97,76.98
2009-03-13 13:30:00,76.09,75.93333333333334,76.98,104.72792050000031,75.86,74.73,77.97
2009-03-16 13:30:00,75.86,76.54666666666667,77.97,104.40722050000035,76.89,75.81,78.36
2009-03-17 13:30:00,78.17999,77.32999666666667,78.36,104.09637040000034,76.9,75.45,80.89999
2009-03-18 13:30:00,79.92999,79.29999666666667,80.89999,103.80152040000034,78.98,77.07001,81.0
2009-03-19 13:30:00,78.94,79.54333333333334,81.0,103.5057704000003,79.84,78.69,78.91
2009-03-20 13:30:00,76.71001,77.38333666666666,78.91,103.19922045000031,77.72,76.53,82.28999
2009-03-23 13:30:00,82.22,80.93999666666666,82.28999,102.90642045000031,80.3,78.31,82.36
2009-03-24 13:30:00,80.60001,81.15666666666667,82.36,102.6279705500003,81.43,80.50999,82.7
2009-03-25 13:30:00,81.45,81.07,82.7,102.35212055000031,80.88,79.06,83.3
2009-03-26 13:30:00,83.11,82.57667,83.3,102.08797055000035,82.31,81.32001,82.53
2009-03-27 13:30:00,81.61,81.81666666666666,82.53,101.82632055000036,81.92,81.31,79.87
2009-03-30 13:30:00,78.78999,78.87333333333333,79.87,101.54802050000036,78.92,77.96001,81.08
2009-03-31 13:30:00,79.52,79.88333333333333,81.08,101.26487055000034,80.06,79.05,81.42
2009-04-01 13:30:00,81.06,80.27,81.42,100.98902055000036,79.88,78.33,84.61
2009-04-02 13:30:00,83.42999,83.05652666666667,84.61,100.72832045000037,82.87,81.12959000000001,84.28
2009-04-03 13:30:00,84.25999,83.73666333333334,84.28,100.47837040000034,83.48,82.67,84.2747
2009-04-06 13:30:00,83.60001,83.38823333333333,84.2747,100.22427045000036,83.28,82.28999,82.64999
2009-04-07 13:30:00,81.64999,81.93665666666669,82.64999,99.97462040000036,82.08,81.50999,82.94
2009-04-08 13:30:00,82.53,82.33666333333333,82.94,99.73002040000034,82.24,81.53999,85.82001
2009-04-09 13:30:00,85.81,85.32000333333333,85.82001,99.50312040000036,85.08,84.33,86.53999
2009-04-13 13:30:00,85.83,85.64999666666667,86.53999,99.27322040000037,85.56,84.58,85.75999
2009-04-14 13:30:00,84.35001,84.73,85.75999,99.05382045000034,84.92,84.08,85.42
2009-04-15 13:30:00,85.25,84.75999999999998,85.42,98.84242045000036,84.52,83.61,87.14999
2009-04-16 13:30:00,86.5,86.13999666666666,87.14999,98.63502045000037,85.96,84.77,87.64999
2009-04-17 13:30:00,87.08,86.95666333333332,87.64999,98.42852045000036,86.89,86.14,87.0489
2009-04-20 13:30:00,83.42999,84.60629666666667,87.0489,98.21477045000036,85.19,83.34,85.13
2009-04-21 13:30:00,85.06,84.31333333333333,85.13,98.00852045000036,83.94,82.75,86.34
2009-04-22 13:30:00,84.53999,84.98333333333333,86.34,97.80612040000037,85.21,84.07001,85.42
2009-04-23 13:30:00,85.37,84.80666666666667,85.42,97.59677035000037,84.52,83.63,87.31
2009-04-24 13:30:00,86.66,86.55333333333333,87.31,97.40612040000036,86.5,85.69,87.00999
2009-04-27 13:30:00,85.84,86.12999333333335,87.00999,97.20882040000036,86.27,85.53999,86.59
2009-04-28 13:30:00,85.57001,85.63999999999999,86.59,97.01747045000036,85.67,84.75999,88.36
2009-04-29 13:30:00,87.39,87.35000000000002,88.36,96.84082045000034,87.33,86.3,89.02
2009-04-30 13:30:00,87.42,87.78666666666668,89.02,96.67297040000031,87.97,86.92,88.21001
2009-05-01 13:30:00,87.89,87.60667,88.21001,96.49262035000031,87.47,86.72,90.94
2009-05-04 13:30:00,90.88,90.06666666666666,90.94,96.32102035000031,89.66,88.38,90.92999
2009-05-05 13:30:00,90.57001,90.44666666666667,90.92999,96.1439704000003,90.38,89.84,92.2
2009-05-06 13:30:00,92.14101,91.65033666666666,92.2,95.97442545000031,91.4,90.61,93.14999
2009-05-07 13:30:00,90.86,91.42999666666668,93.14999,95.7913254500003,91.71,90.28,93.22
2009-05-08 13:30:00,92.98,92.37033333333332,93.22,95.61537545000034,92.07,90.911,92.11
2009-05-11 13:30:00,91.24001,91.46333333333332,92.11,95.44402555000036,91.57,91.03999,91.83
2009-05-12 13:30:00,90.97,90.88333666666664,91.83,95.27147555000036,90.84,89.85001,90.00999
2009-05-13 13:30:00,88.67999,89.06332666666668,90.00999,95.09667550000036,89.25,88.5,90.12
2009-05-14 13:30:00,89.44,89.35333333333334,90.12,94.91247550000037,89.31,88.5,90.0
2009-05-15 13:30:00,88.71001,88.95333333333332,90.0,94.71337555000036,89.07,88.14999,91.34
2009-05-18 13:30:00,91.23,90.38006999999999,91.34,94.53537555000037,89.96,88.57021,91.97
2009-05-19 13:30:00,91.12,91.3,91.97,94.36017555000036,91.39,90.81,92.8
2009-05-20 13:30:00,90.50999,91.23999666666668,92.8,94.1877754500003,91.6,90.41,89.8
2009-05-21 13:30:00,89.21001,89.08999999999997,89.8,93.99202550000031,89.03,88.25999,90.0
2009-05-22 13:30:00,89.02,89.23333000000002,90.0,93.7924755500003,89.34,88.67999,91.56
2009-05-26 13:30:00,91.3,90.39333666666666,91.56,93.6139256000003,89.94,88.32001,91.75
2009-05-27 13:30:00,89.67,90.31666666666666,91.75,93.4154256000003,90.64,89.53,91.34
2009-05-28 13:30:00,90.92,90.45333666666666,91.34,93.21647555000031,90.22,89.10001,93.7
2009-05-29 13:30:00,92.53,92.30333,93.7,93.0323755000003,92.19,90.67999,95.17
2009-06-01 13:30:00,94.77,94.45666333333332,95.17,92.8633754500003,94.3,93.42999,95.37
2009-06-02 13:30:00,94.85001,92.58333666666664,95.37,92.68992555000031,91.45,87.53,94.13
2009-06-03 13:30:00,93.64999,93.51332666666669,94.13,92.5073255000003,93.44,92.75999,94.67
2009-06-04 13:30:00,94.53,94.16666666666669,94.67,92.3380255000003,93.98,93.3,95.67
2009-06-05 13:30:00,94.55,94.67333333333332,95.67,92.1758254500003,94.74,93.8,95.10001
2009-06-08 13:30:00,94.16,94.09999999999998,95.10001,92.0087254500003,94.07,93.03999,95.145
2009-06-09 13:30:00,94.64,94.60166666666667,95.145,91.84292545000031,94.58,94.02,95.49001
2009-06-10 13:30:00,94.39999,94.36,95.49001,91.66667545000031,94.34,93.19,96.11
2009-06-11 13:30:00,94.82001,95.16333666666668,96.11,91.50567550000031,95.34,94.56,95.14
2009-06-12 13:30:00,95.08,94.74,95.14,91.3441255000003,94.57,94.0,94.02
2009-06-15 13:30:00,92.89999,93.10666,94.02,91.1654754500003,93.21,92.39999,93.28999
