time,open,high,low,close,Plot,Plot,Plot,Plot,MA,MA,MA,MA,EMA,EMA,Basis,Upper,Lower,MA,MA,MA,MA,VWAP,Volume,Volume MA,RSI,EMA Divergence,Min,Max,-Min,-Max,ATR,Plot,Plot,Histogram,MACD,Signal,HV,ROC,Plot,Plot,Plot,OnBalanceVolume
1559136600,278.91,279.36,276.71,278.27,NaN,NaN,316.6028571428572,297.6871287128713,277.3189500000002,278.85320000000013,286.76679999999993,286.1175000000003,284.7518307627752,285.00862708965155,283.8761538461536,289.60307563155953,278.1492320607477,277.3189500000002,278.85320000000013,286.76679999999993,286.1175000000003,278.1133333333333,104972927,84810328.85,35.36667145476383,2.089094980183025,1.5,2.75,NaN,NaN,3.4555676531126496,1.237737530597961,1049.3192189813747,-0.9435348138800626,-1.9114425524991248,-0.9679077386190622,14.1781742804946,-2.3819546762085246,2.4631574463703187,83.21961592762744,14.317226626002242,9106074556
1559223000,279.11,280.04,277.805,279.03,NaN,NaN,317.3918367346939,297.8311881188119,277.2983000000002,279.11960000000016,286.69939999999997,285.4785000000003,284.5274452426664,284.43923403349424,283.17846153846136,288.88698604756274,277.46993702936,277.2983000000002,279.11960000000016,286.69939999999997,285.4785000000003,278.9583333333333,62523780,84352924.35,37.28979328172062,1.5736678946902012,1.5,2.75,NaN,NaN,3.36838424931889,0.7412165076882721,1050.61284542968,-0.9313762733738933,-2.132128080336429,-1.2007518069625356,13.66678138031143,-3.013555787278421,11.497364061369376,61.83844648757488,26.664189451055744,9168598336
1559309400,276.2,277.12,275.24,275.27,NaN,NaN,318.18081632653065,297.9752475247525,277.2641500000002,279.32850000000013,286.57379999999995,284.6830000000003,284.1644081743265,283.5659736493519,282.74846153846136,289.7796747882068,275.7172482887159,277.2641500000002,279.32850000000013,286.57379999999995,284.6830000000003,275.87666666666667,86862782,85444554.95,32.187185228615775,2.2628162072784965,1.5,2.75,NaN,NaN,3.398499660081824,1.0165982144892662,1046.9335112507829,-1.1039386433917746,-2.580675111202254,-1.4767364678104793,12.97811511977636,-3.6978729359081983,12.439314754587198,60.19643395313947,27.364251292273334,9081735554
1559568600,275.31,276.5521,273.09,274.57,NaN,NaN,273.09,298.1193069306931,277.2175000000002,279.50650000000013,286.37059999999997,283.71000000000026,283.78815687337254,282.70921425417555,282.06923076923056,290.3180254095268,273.8204361289343,277.2175000000002,279.50650000000013,286.37059999999997,283.71000000000026,274.7373666666667,96427952,87438769.9,31.3277246417246,2.479123118104844,1.5,2.75,NaN,NaN,3.403042541504552,1.102805450148493,1050.3401610945289,-1.1854363461511324,-2.958531900499395,-1.7730955543482625,12.945215531721477,-3.3033984856488803,2.3722131019933226,83.58542576747524,14.042361130531432,8985307602
1559655000,277.12,280.68,276.62,280.53,NaN,NaN,273.1013559322034,298.2633663366337,277.2112500000002,279.7321000000001,286.39619999999996,283.09550000000024,283.66038601559325,282.5016700394922,281.72076923076906,289.8160573628132,273.62548109872495,277.2112500000002,279.7321000000001,286.39619999999996,283.09550000000024,279.27666666666664,77231889,85940460.9,44.83429392314119,0.573075172687713,1.5,2.75,NaN,NaN,3.596396645682799,0.8986673819432588,1055.891437224093,-0.7778567451937963,-2.745416485840508,-1.9675597406467116,19.327111779504314,-2.08718718369342,13.105314949482969,59.13347252724069,27.761212523276335,9062539491
1559741400,282.33,282.99,280.32,282.96,NaN,NaN,273.1127118644068,298.4074257425743,277.2057500000002,279.9729000000001,286.47459999999995,282.84700000000026,283.63291989733466,282.5453205119215,281.3561538461537,288.7368085532408,273.9754991390666,277.2057500000002,279.9729000000001,286.47459999999995,282.84700000000026,282.09,71169717,82262451.35,49.2196419870958,0.43151887303310243,1.5,2.75,NaN,NaN,3.5302254567054576,0.865154342376645,1056.334016356746,-0.30860242185404596,-2.353312767964269,-2.044710346110223,19.260628962382256,-0.934775758848866,37.41041571269912,29.474908472819838,33.114675814481046,9133709208
1559827800,283.29,285.55,282.57,284.8,NaN,NaN,273.1240677966101,298.55148514851487,277.20445000000024,280.2311000000001,286.54819999999995,282.71050000000025,283.678687744498,282.7600518917385,281.2761538461537,288.48112451693595,274.07118317537146,277.20445000000024,280.2311000000001,286.54819999999995,282.71050000000025,284.3066666666667,69430381,81155556.05,52.31100021553222,0.9812508602602785,1.5,2.75,NaN,NaN,3.490923638369355,0.8555222141195594,1058.4848912081175,0.1377602812924703,-1.872509994494635,-2.0102702757871054,19.70322014235238,0.9427943574112232,38.74241839362148,28.26022361395017,32.99735799242836,9203139589
1559914200,285.93,288.85,285.74,287.65,NaN,NaN,273.1354237288135,298.6955445544554,277.21435000000025,280.5336000000001,286.7081999999999,282.7600000000003,283.8344254800079,283.22576123538244,281.5607692307691,289.42766368806485,273.69387477347334,277.21435000000025,280.5336000000001,286.7081999999999,282.7600000000003,287.41333333333336,74272199,79695610.8,56.70723262917759,1.8796235146449674,1.5,2.75,NaN,NaN,3.5308576642001164,0.9319484254457838,1062.689055810033,0.6105177468166048,-1.2471230922663494,-1.8576408390829542,18.865186110454605,1.7221868590423668,69.28706352973927,7.691559678989633,23.02137679127109,9277411788
1560173400,289.37,290.82,288.8734,288.97,NaN,NaN,273.1467796610169,298.839603960396,277.22750000000025,280.8198000000001,286.87339999999995,282.80350000000027,284.0358205592233,283.77283159391743,281.7499999999999,290.18203415551443,273.31796584448534,277.22750000000025,280.8198000000001,286.87339999999995,282.80350000000027,289.55446666666666,60799053,77114098.8,58.61035990984411,2.1071022435890123,1.5,2.75,NaN,NaN,3.5050821167572517,0.7884297935930751,1065.0734184471303,0.9760036914289401,-0.6376362247967791,-1.6136399162257191,18.926491789690964,3.148313403533839,100,0,0,9338210841
1560259800,290.99,291.4,288.1805,288.9,NaN,NaN,273.1581355932203,298.9836633663366,277.2411500000003,281.0990000000001,287.00179999999995,283.20550000000026,284.2265726941557,284.26113334687767,282.0015384615383,291.0538304659011,272.9492464571755,277.2411500000003,281.0990000000001,287.00179999999995,283.20550000000026,289.4935,58641325,73681638.7,58.46358671936263,1.8177847065121335,1.5,2.75,NaN,NaN,3.4846833941317326,0.7958743322574882,1065.6942377982032,1.1641634852305152,-0.15843555968757528,-1.3225990449180904,17.57708544507166,3.8200309052359205,80.10647365357693,3.4091668663917893,16.484359480031276,9279569516
1560346200,288.64,289.26,287.815,288.39,NaN,NaN,273.1694915254237,299.1277227722772,277.25415000000027,281.3533000000001,287.05299999999994,283.45500000000027,284.38984435320845,284.65435874241314,282.48230769230753,292.15552894829,272.80908643632506,277.25415000000027,281.3533000000001,287.05299999999994,283.45500000000027,288.48833333333334,47096312,72186292.8,57.337001260231894,1.2669754467420036,1.5,2.75,NaN,NaN,3.3389917231223225,0.6524273539089405,1064.551027103244,1.2005818996232374,0.17812832961095637,-1.022453570012281,16.77780036424428,3.3544780131168745,57.23708559091829,14.262514768028904,28.500399641052795,9232473204
1560432600,289.4,289.98,288.62,289.58,NaN,NaN,273.18084745762707,299.2717821782178,277.2645000000003,281.58450000000016,287.12519999999995,283.68100000000027,284.5933798687689,285.1234674336119,283.00538461538446,293.3952927822448,272.61547644852413,277.2645000000003,281.58450000000016,287.12519999999995,283.68100000000027,289.3933333333334,48945156,70935730.25,59.30740637374435,1.3401831360931091,1.5,2.75,NaN,NaN,3.214063742899302,0.6899929813579384,1068.5019454898425,1.2457363031485496,0.534716808923406,-0.7110194942251435,16.771172899153736,5.198532350056309,53.90975599628823,16.41593426620525,29.6743097375065,9281418360
1560519000,289.26,289.93,288.41,289.26,NaN,NaN,273.19220338983047,299.4158415841584,277.26190000000025,281.8485000000001,287.18199999999996,283.7590000000003,284.7763845797976,285.51742291612504,283.7061538461537,294.45390649413196,272.95840119817547,277.26190000000025,281.8485000000001,287.18199999999996,283.7590000000003,289.2,52324716,69714483.9,58.524642778279365,1.133180973931521,1.5,2.75,NaN,NaN,3.093059189835065,0.7505573171144138,1066.2986421846788,1.1947952295848743,0.7824745427559492,-0.412320686828925,13.232872472533087,5.350183923953818,23.338421936404263,44.51128424726486,32.15029381633087,9229093644
1560778200,289.52,290.22,289.18,289.37,NaN,NaN,273.20355932203387,299.559900990099,277.2591500000003,282.10810000000015,287.22579999999994,283.9355000000003,284.956526360982,285.8843350193512,284.55999999999983,295.2077993392587,273.91220066074095,277.2591500000003,282.10810000000015,287.22579999999994,283.9355000000003,289.59000000000003,39205709,66657118.15,58.72630402071573,1.0944879378195393,1.5,2.75,NaN,NaN,2.9464121048468472,0.5881698772481361,1067.725654320704,1.1110122033440728,0.9764445673511659,-0.13456763599290678,12.723698064818644,3.151178127116541,16.76747102390994,53.3297481618088,29.902780814281257,9268299353
1560864600,291.39,293.57,290.99,292.4,NaN,NaN,273.21491525423727,299.7039603960396,277.2637500000003,282.39660000000015,287.3023999999999,284.3580000000003,285.24842728800235,286.50487454131775,285.5884615384614,296.4810132523676,274.6959098245552,277.2637500000003,282.39660000000015,287.3023999999999,284.3580000000003,292.32,85434823,67784978.8,63.92896507328439,1.729006495873286,1.5,2.75,NaN,NaN,3.0359540973577857,1.2603798734241103,1071.4658898349635,1.194851878901521,1.3589972126339944,0.16414533373247348,8.431650155527107,3.3361605880689846,52.96393382739897,17.015991214783394,30.020074957817638,9353734176
1560951000,292.55,293.65,291.47,293.06,NaN,NaN,273.22627118644067,299.8480198019802,277.27755000000025,282.66940000000017,287.3877999999999,284.6855000000003,285.5547634727866,287.1291722040494,286.9569230769229,296.7330836717673,277.18076248207853,277.27755000000025,282.66940000000017,287.3877999999999,284.6855000000003,292.7266666666667,78674377,69376343.4,64.96492096374315,1.6113116038311663,1.5,2.75,NaN,NaN,2.974814518975083,1.1340231142824975,1073.6102976433071,1.2253880298499813,1.6958803710449502,0.47049234119496885,7.9741392326404235,2.9002808988764013,80.1823789709913,3.3728149710443662,16.444806057964357,9432408553
1561037400,296.04,296.3093,293.1255,295.86,NaN,NaN,273.237627118644,299.99207920792077,277.3053000000003,282.9904000000002,287.55879999999996,285.19700000000023,285.95889039542243,287.96067961318755,288.5946153846152,296.4701026335581,280.71912813567235,277.3053000000003,282.9904000000002,287.55879999999996,285.19700000000023,295.0982666666667,116570017,72730720.65,69.02878925145436,2.112063271381038,1.5,2.75,NaN,NaN,2.994420624762578,1.602761748518437,1077.2270376230138,1.354690702122355,2.1638557188479126,0.8091650167255576,8.554008647565816,2.854163045367647,84.27896708155285,2.1767432437950154,13.54428967465215,9548978570
1561123800,294.13,295.52,293.76,294,NaN,NaN,273.2489830508474,300.13613861386136,277.3262500000003,283.2963000000002,287.67299999999994,285.79000000000025,286.27422802697447,288.53585298336014,289.6307692307691,296.4650469160355,282.7964915455027,277.3262500000003,283.2963000000002,287.67299999999994,285.79000000000025,294.4266666666667,83309466,71959501.6,63.73964109736523,1.553461771789066,1.5,2.75,NaN,NaN,2.9305334372795384,1.1577271124401451,1074.5528059293276,1.2386421292657817,2.357467678307785,1.1188255490420032,9.331585027703758,1.7406651209468016,75.31808457572991,5.094248270292153,19.58766715397793,9465669104
1561383000,294.23,294.58,293.47,293.64,NaN,NaN,273.2603389830508,300.28019801980196,277.3493000000003,283.55690000000016,287.7815999999999,286.33300000000025,286.5630818298382,289.02196222304013,290.4523076923075,296.3904408039957,284.5141745806193,277.3493000000003,283.55690000000016,287.7815999999999,286.33300000000025,293.89666666666665,47582730,71575233.35,62.73766339762856,1.1648407444906728,1.5,2.75,NaN,NaN,2.8004953346167114,0.6647932220817553,1071.966162998909,1.0677989869185787,2.4535742826902265,1.3857752957716478,9.380662242218895,1.6407061266874383,61.095414016191135,11.970328534898975,26.934257448909886,9418086374
1561469400,293.7,293.73,290.64,290.76,NaN,NaN,273.2716949152542,300.42425742574255,277.3623000000003,283.76520000000016,287.7935999999999,286.8635000000003,286.7276668561191,289.18748963036967,290.910769230769,295.8725707741902,285.9489676873478,277.3623000000003,283.76520000000016,287.7935999999999,286.8635000000003,291.71,82028656,72175198.35,55.25441596562055,0.4103841249894068,1.5,2.75,NaN,NaN,2.821174239286949,1.1365213795771993,1069.0293279677915,0.7083133070834067,2.271166929625906,1.5628536225424994,11.459143765807388,0.821803807344223,32.44773538936214,34.317238300915484,33.235026309722386,9336057718
1561555800,291.75,292.31,290.345,290.47,NaN,NaN,273.2830508474576,300.56831683168315,277.3766500000003,283.96930000000015,287.80359999999996,287.47350000000034,286.8744250186242,289.30963347509635,291.12769230769214,295.73415034196273,286.52123427342156,277.3766500000003,283.96930000000015,287.80359999999996,287.47350000000034,291.0416666666667,51584902,69505797.1,54.5488501047658,0.18300704560500908,1.5,2.75,NaN,NaN,2.7600189364807366,0.7421669004929663,1070.3600545863474,0.41310833270671776,2.0792390384258965,1.6661307057191788,11.408510498007946,0.3073416672422278,13.071050081046558,59.21911897850575,27.7098309404477,9284472816
1561642200,291.31,292.06,290.89,291.5,NaN,NaN,273.29440677966096,300.71237623762374,277.3936500000003,284.16470000000015,287.83039999999994,288.0970000000003,287.05582011593305,289.51823981080145,291.3223076923075,295.75830834327803,286.886307041337,277.3936500000003,284.16470000000015,287.83039999999994,288.0970000000003,291.48333333333335,40355239,68397370.05,56.66540352064763,0.36720793155479237,1.5,2.75,NaN,NaN,2.6764461553035397,0.5900115599547091,1074.0032300244409,0.2569661505329841,1.987338393885409,1.730372243352425,11.350297632777096,0.7743898223051957,2.1664968743399053,84.36820125016634,13.465301875493761,9324828055
1561728600,292.58,293.55,292.01,293,NaN,NaN,273.30576271186436,300.85643564356434,277.4134000000003,284.36370000000016,287.9013999999999,288.9835000000004,287.2889252094259,289.84983601929656,291.63769230769213,295.9203166206661,287.3550679947182,277.4134000000003,284.36370000000016,287.9013999999999,288.9835000000004,292.8533333333333,59350929,67021777.4,59.614876938751316,0.6369731398384869,1.5,2.75,NaN,NaN,2.6317000013532876,0.8855469267217614,1078.0674731629792,0.22557968777867532,2.012346853075769,1.7867671652970938,11.557188855571738,1.2544493209385892,17.629756972042447,52.16618115754399,30.204061870413554,9384178984
1561987800,296.68,296.92,294.33,295.66,NaN,NaN,273.31711864406776,301.00049504950493,277.4461000000003,284.59290000000016,288.0141999999999,290.03800000000035,287.6172026521935,290.40318496983974,292.1969230769229,296.5354331694294,287.85841298441636,277.4461000000003,284.59290000000016,288.0141999999999,290.03800000000035,295.6366666666667,79107474,66155753.5,64.26039865344003,1.3468489126036642,1.5,2.75,NaN,NaN,2.723721429828054,1.1957761768974486,1080.2109737098872,0.34754737156780413,2.221201379756849,1.8736540081890447,12.348013030346548,1.1149110807113707,45.0823550589097,22.872347624407254,32.04529731668306,9463286458
1562074200,295.61,296.49,294.68,296.43,NaN,NaN,273.32847457627116,301.14455445544553,277.4741000000003,284.85580000000016,288.1373999999999,290.8330000000004,287.9628025481859,290.9771673536645,292.72384615384595,297.3193257954414,288.1283665122505,277.4741000000003,284.85580000000016,288.1373999999999,290.8330000000004,295.86666666666673,61504544,65369386.25,65.49764339133264,1.1908004123686506,1.5,2.75,NaN,NaN,2.6584556134117645,0.9408768772094751,1081.97648249678,0.4378332005437453,2.4209455088687264,1.983112308324981,11.197213615553983,1.1499351668600302,80.30595349377259,3.3429765913783536,16.35106991484905,9524791002
1562160600,297.18,298.82,297.02,298.8,NaN,NaN,273.33983050847456,301.2886138613861,277.5137000000003,285.13910000000016,288.2557999999999,291.6250000000004,288.38779068355115,291.72219903426793,293.45769230769207,298.6183550787771,288.29702953660706,277.5137000000003,285.13910000000016,288.2557999999999,291.6250000000004,298.2133333333333,40898896,63855845.2,69.04920992764697,1.657710427789202,1.5,2.75,NaN,NaN,2.63928021245378,0.6404878969482343,1084.151128138106,0.6046388760368093,2.738910903370993,2.1342720273341835,11.822633345562503,0.9937132427499484,100,0,0,9565689898
1562333400,297.44,298.64,296.01,298.46,NaN,NaN,273.3511864406779,301.4326732673267,277.55930000000035,285.41750000000013,288.3803999999999,292.3080000000004,288.7827792841962,292.3638943643376,294.15692307692285,299.3756254480158,288.9382207058299,277.55930000000035,285.41750000000013,288.3803999999999,292.3080000000004,297.7033333333333,51677326,62968192.45,67.96829178765154,1.4008409379680467,1.5,2.75,NaN,NaN,2.6500459115642263,0.820689366953553,1083.3752790886301,0.6363375164981395,2.929693922956858,2.2933564064587184,10.87119341740235,1.5170068027210815,79.8860145189153,3.478482628015821,16.635502853068875,9514012572
1562592600,297.01,298.2579,296.22,296.82,NaN,NaN,273.3625423728813,301.5767326732673,277.5888500000003,285.64470000000017,288.47579999999994,292.7665000000004,289.09796441030613,292.78828537725786,294.4969230769228,299.7888814732825,289.20496468056314,277.5888500000003,285.64470000000017,288.47579999999994,292.7665000000004,297.0993,45841772,61546671.1,62.856927280391105,0.907595308201842,1.5,2.75,NaN,NaN,2.6207569178810637,0.7448294307504797,1080.9177661021456,0.4972786848663828,2.914954762541697,2.4176760776753143,10.687151683954033,1.0829587249693526,55.315740545538056,15.458910441960942,29.225349012501013,9468170800
1562679000,295.54,297.52,295.48,297.19,NaN,NaN,273.3738983050847,301.7207920792079,277.61870000000033,285.86670000000015,288.55139999999994,293.17750000000035,289.41529913931373,293.2074962937095,294.81461538461514,300.21807647136376,289.4111542978665,277.61870000000033,285.86670000000015,288.55139999999994,293.17750000000035,296.73,41101279,60561782.4,63.523407581505374,0.700699539023175,1.5,2.75,NaN,NaN,2.579274280889557,0.6786669310446187,1081.8601036212967,0.38562217714820335,2.8997037991105685,2.514081621962365,10.596645522547215,2.2114458660063305,47.35490815885049,21.073489371686733,31.571602469462785,9509272079
1562765400,298.37,299.66,297.78,298.61,NaN,NaN,273.3852542372881,301.8648514851485,277.6438500000003,286.10900000000015,288.6461999999999,293.66300000000035,289.7758756436544,293.72202045621333,295.0261538461536,300.7806679990762,289.271639693231,277.6438500000003,286.10900000000015,288.6461999999999,293.66300000000035,298.68333333333334,58595558,60559494.05,66.04181107406369,1.1172843119399003,1.5,2.75,NaN,NaN,2.5714689751117334,0.9675701377495244,1084.5275714496659,0.36312376988948625,2.967986334324223,2.604862564434737,8.030591544624876,2.802354804282709,46.74818176201398,21.53873957512027,31.713078662865748,9567867637
1562851800,299.32,299.58,298.2,299.31,NaN,NaN,273.3966101694915,302.0089108910891,277.6804500000003,286.32840000000016,288.7519999999999,294.2090000000004,290.149762873315,294.254208984193,295.43461538461514,301.58031614775194,289.28891462147834,277.6804500000003,286.32840000000016,288.7519999999999,294.2090000000004,299.03,50889481,60749152.5,67.24246179954291,1.0413444304425061,1.5,2.75,NaN,NaN,2.486364048318038,0.8376986164539497,1084.6159597973142,0.35091098593200254,3.0435012968497404,2.692590310917738,7.695900341527588,2.6792452830188687,49.1641706157566,19.718304591550034,31.117524792693363,9618757118
1562938200,299.85,300.73,299.51,300.65,NaN,NaN,273.40796610169485,302.1529702970297,277.7286000000003,286.55640000000017,288.9287999999999,294.7625000000004,290.56153687828305,294.86333193807934,295.9738461538459,302.60595703008124,289.34173527761055,277.7286000000003,286.55640000000017,288.9287999999999,294.7625000000004,300.2966666666667,40354410,60319615.2,69.46792267090552,1.2443217096659762,1.5,2.75,NaN,NaN,2.4101951877238936,0.6690097386430276,1087.603111772537,0.38582875343419065,3.174876252710476,2.7890474992762853,7.737961559119669,2.610921501706477,77.62575906824901,4.240899744422383,18.13334118732861,9659111528
1563197400,301.13,301.13,300.19,300.75,NaN,NaN,273.41932203389825,302.2970297029703,277.7786000000003,286.7798000000002,289.1201999999999,295.33700000000033,290.9610844516837,295.4239669915956,296.7423076923074,303.08875262736444,290.39586275725037,277.7786000000003,286.7798000000002,289.1201999999999,295.33700000000033,300.69,33910261,59398892.45,69.63372100765173,1.1657015863828069,1.5,2.75,NaN,NaN,2.3051812457436154,0.5708904594230358,1087.1438324457652,0.3684433055413314,3.2496016312029496,2.8811583256616182,7.764654754450638,1.721572076033273,100,0,0,9693021789
1563283800,300.65,300.88,299.44,299.71,NaN,NaN,273.43067796610165,302.4410891089109,277.8277500000003,287.0027000000002,289.23379999999986,295.8540000000004,291.3041791790686,295.8321606114436,297.4530769230766,302.82534981045666,292.08080403569653,277.8277500000003,287.0027000000002,289.23379999999986,295.8540000000004,300.01,40567964,59467005.2,65.64145009047294,0.8224657705438035,1.5,2.75,NaN,NaN,2.243382585333357,0.6821928204314549,1087.917324913919,0.24559469585327465,3.1881516954782114,2.9425569996249368,7.27862178009844,1.106500691562923,79.20975364344311,3.694995780968522,17.095250575588373,9652453825
