Date,tmr_high,tmr_low,y_hat_high,y_hat_low
2000-12-18,134.96875,130.015625,134.45282380962297,132.0312209438068
2000-12-26,133.734375,131.25,133.16031509139938,130.72935328701536
2000-12-27,133.875,132.59375,134.03549626725393,131.06431420666954
2000-12-28,134.28125,131.1875,134.6416033435666,132.02735877080931
2001-01-09,132.125,128.8125,130.85663365084528,128.53427006719184
2001-01-10,133.484375,131.09375,133.11379291753167,130.95808923565554
2001-01-16,135.046875,132.640625,133.6559048428259,131.48580910071422
2001-01-17,135.703125,132.9375,134.63367171357982,131.52340320939666
2001-01-19,135.78125,133.5625,135.8536689081951,132.39070173973076
2001-01-24,137.25,135.65625,137.2010601089859,135.53751748782426
2001-02-12,134.1699981689453,132.0,134.9215700816189,132.3444911754534
2001-02-16,131.13999938964844,128.10000610351562,131.68008480993308,129.64905502086813
2001-02-23,127.62000274658203,124.5,126.28904827098816,122.40181640256642
2001-02-26,127.83999633789062,125.51000213623047,128.48671538321096,126.27680548450327
2001-03-02,124.77999877929688,123.80999755859375,125.14059719400562,122.12834327243722
2001-03-08,126.0999984741211,123.11000061035156,127.478575169381,126.26212254851916
2001-03-12,120.44000244140625,117.52999877929688,121.18570835589082,117.24015995422
2001-03-13,119.29000091552734,115.75,120.81781093278043,118.81821459096325
2001-03-14,118.86000061035156,117.36000061035156,118.87751493543367,115.18126869398829
2001-03-20,115.26000213623047,111.9000015258789,116.42895482970552,113.08719956857155
2001-03-21,112.5999984741211,108.04000091552734,114.97121272534471,111.69781956972024
2001-03-22,114.66000366210938,111.5,113.18606959791036,109.94756667808794
2001-03-23,116.2699966430664,114.7699966430664,114.8601588711438,112.24977462365321
2001-04-03,112.0999984741211,109.30000305175781,112.91426723612722,109.69965875269996
2001-04-06,114.98999786376953,112.77999877929688,114.03327252124683,112.01093247954095
2001-04-09,117.75,115.16999816894531,114.85022794959308,112.52515612162831
2001-04-12,118.88999938964844,116.91000366210938,118.59699247342661,115.80376071344205
2001-04-17,126.0,120.69000244140625,118.93211364709857,117.23992131372411
2001-04-18,125.83999633789062,123.58000183105469,124.84484459737926,122.35923581910953
2001-04-23,123.6500015258789,121.0999984741211,123.03318791742856,121.2377648165524
2001-04-27,127.2699966430664,124.66999816894531,125.62757352222297,124.14648609210342
2001-05-02,126.1500015258789,124.22000122070312,127.46975813714865,125.98517776580847
2001-05-03,127.3499984741211,123.44000244140625,126.45049599650272,124.45280500883884
2001-05-09,127.5,125.7699966430664,126.58132105577526,124.92129329419717
2001-05-11,125.44000244140625,124.45999908447266,126.85770300025183,124.61134766319663
2001-05-14,126.5,124.8499984741211,126.54971807645842,124.8196555232665
2001-06-01,127.43000030517578,126.08000183105469,127.45109286733882,125.48371903733258
2001-06-07,127.87000274658203,126.13999938964844,128.51885446049766,127.25378378067238
2001-06-08,126.98999786376953,125.41000366210938,127.71476329595544,126.08895300517955
2001-06-13,124.30000305175781,121.75,126.84465843199692,124.54254377984248
2001-06-15,122.44000244140625,120.91000366210938,122.5828090041783,120.58439282709817
2001-06-21,123.58999633789062,122.16000366210938,124.37918472695725,122.48767217832032
2001-06-29,124.31999969482422,122.62000274658203,123.41557973261102,121.57104686902184
2001-07-02,124.0999984741211,123.05000305175781,124.22139761705473,122.42282330483314
2001-07-09,120.63999938964844,118.20999908447266,120.3329453691453,118.88061019622327
